filename,count,count1
/home/rnam/Documents/ped/data/team500/2016-07-17-13-44-43_Flatbush_Ave__Willoughby.jpg,57,1
/home/rnam/Documents/ped/data/team500/2016-07-17-13-38-38_Flatbush_Ave__Willoughby.jpg,58,1
/home/rnam/Documents/ped/data/team500/2016-07-17-13-37-14_Flatbush_Ave__Willoughby.jpg,59,2
/home/rnam/Documents/ped/data/team500/2016-07-17-13-44-26_Flatbush_Ave__Willoughby.jpg,60,2
/home/rnam/Documents/ped/data/team500/2016-07-17-13-39-32_Flatbush_Ave__Willoughby.jpg,61,2
/home/rnam/Documents/ped/data/team500/2016-07-17-13-38-43_Flatbush_Ave__Willoughby.jpg,62,2
/home/rnam/Documents/ped/data/team500/2016-07-17-13-40-06_Flatbush_Ave__Willoughby.jpg,63,2
/home/rnam/Documents/ped/data/team500/2016-07-17-13-38-06_Flatbush_Ave__Willoughby.jpg,64,2
/home/rnam/Documents/ped/data/team500/2016-07-17-13-36-35_Flatbush_Ave__Willoughby.jpg,65,2
/home/rnam/Documents/ped/data/team500/2016-07-17-13-43-29_Flatbush_Ave__Willoughby.jpg,66,2
/home/rnam/Documents/ped/data/team500/2016-07-17-13-40-00_Flatbush_Ave__Willoughby.jpg,67,2
/home/rnam/Documents/ped/data/team500/2016-07-17-13-36-59_Flatbush_Ave__Willoughby.jpg,68,2
/home/rnam/Documents/ped/data/team500/2016-07-17-13-40-08_Flatbush_Ave__Willoughby.jpg,69,3
/home/rnam/Documents/ped/data/team500/2016-07-17-13-45-43_Flatbush_Ave__Willoughby.jpg,70,5
/home/rnam/Documents/ped/data/team500/2016-07-17-13-37-44_Flatbush_Ave__Willoughby.jpg,71,6
/home/rnam/Documents/ped/data/team500/2016-07-17-13-45-21_Flatbush_Ave__Willoughby.jpg,72,6
/home/rnam/Documents/ped/data/team500/2016-07-17-13-37-43_Flatbush_Ave__Willoughby.jpg,73,8
/home/rnam/Documents/ped/data/team500/2016-07-17-13-40-10_Flatbush_Ave__Willoughby.jpg,74,8
/home/rnam/Documents/ped/data/team500/2016-07-17-13-41-00_Flatbush_Ave__Willoughby.jpg,75,8
/home/rnam/Documents/ped/data/team500/2016-07-17-13-37-21_Flatbush_Ave__Willoughby.jpg,76,9
/home/rnam/Documents/ped/data/team500/2016-07-17-13-38-07_Flatbush_Ave__Willoughby.jpg,77,9
/home/rnam/Documents/ped/data/team500/2016-07-17-13-41-48_Flatbush_Ave__Willoughby.jpg,78,9
/home/rnam/Documents/ped/data/team500/2016-07-17-13-42-50_Flatbush_Ave__Willoughby.jpg,79,8
/home/rnam/Documents/ped/data/team500/2016-07-17-13-44-56_Flatbush_Ave__Willoughby.jpg,80,9
/home/rnam/Documents/ped/data/team500/2016-07-17-13-39-29_Flatbush_Ave__Willoughby.jpg,81,9
/home/rnam/Documents/ped/data/team500/2016-07-17-13-42-18_Flatbush_Ave__Willoughby.jpg,82,8
/home/rnam/Documents/ped/data/team500/2016-07-17-13-38-50_Flatbush_Ave__Willoughby.jpg,83,8
/home/rnam/Documents/ped/data/team500/2016-07-17-13-45-16_Flatbush_Ave__Willoughby.jpg,84,8
/home/rnam/Documents/ped/data/team500/2016-07-17-13-38-22_Flatbush_Ave__Willoughby.jpg,85,8
/home/rnam/Documents/ped/data/team500/2016-07-17-13-42-51_Flatbush_Ave__Willoughby.jpg,86,9
/home/rnam/Documents/ped/data/team500/2016-07-17-13-45-33_Flatbush_Ave__Willoughby.jpg,87,9
/home/rnam/Documents/ped/data/team500/2016-07-17-13-40-41_Flatbush_Ave__Willoughby.jpg,88,9
/home/rnam/Documents/ped/data/team500/2016-07-17-13-41-07_Flatbush_Ave__Willoughby.jpg,89,8
/home/rnam/Documents/ped/data/team500/2016-07-17-13-43-38_Flatbush_Ave__Willoughby.jpg,90,8
/home/rnam/Documents/ped/data/team500/2016-07-17-13-39-50_Flatbush_Ave__Willoughby.jpg,91,9
/home/rnam/Documents/ped/data/team500/2016-07-17-13-42-10_Flatbush_Ave__Willoughby.jpg,92,9
/home/rnam/Documents/ped/data/team500/2016-07-17-13-40-40_Flatbush_Ave__Willoughby.jpg,93,8
/home/rnam/Documents/ped/data/team500/2016-07-17-13-37-04_Flatbush_Ave__Willoughby.jpg,94,8
/home/rnam/Documents/ped/data/team500/2016-07-17-13-40-21_Flatbush_Ave__Willoughby.jpg,95,9
/home/rnam/Documents/ped/data/team500/2016-07-17-13-38-32_Flatbush_Ave__Willoughby.jpg,96,9
/home/rnam/Documents/ped/data/team500/2016-07-17-13-37-09_Flatbush_Ave__Willoughby.jpg,97,7
/home/rnam/Documents/ped/data/team500/2016-07-17-13-36-46_Flatbush_Ave__Willoughby.jpg,98,8
/home/rnam/Documents/ped/data/team500/2016-07-17-13-43-06_Flatbush_Ave__Willoughby.jpg,99,10
/home/rnam/Documents/ped/data/team500/2016-07-17-13-36-53_Flatbush_Ave__Willoughby.jpg,100,11
/home/rnam/Documents/ped/data/team500/2016-07-17-13-40-55_Flatbush_Ave__Willoughby.jpg,101,11
/home/rnam/Documents/ped/data/team500/2016-07-17-13-45-20_Flatbush_Ave__Willoughby.jpg,102,9
/home/rnam/Documents/ped/data/team500/2016-07-17-13-40-16_Flatbush_Ave__Willoughby.jpg,103,9
/home/rnam/Documents/ped/data/team500/2016-07-17-13-42-45_Flatbush_Ave__Willoughby.jpg,104,8
/home/rnam/Documents/ped/data/team500/2016-07-17-13-36-05_Flatbush_Ave__Willoughby.jpg,105,8
/home/rnam/Documents/ped/data/team500/2016-07-17-13-42-01_Flatbush_Ave__Willoughby.jpg,106,8
/home/rnam/Documents/ped/data/team500/2016-07-17-13-44-27_Flatbush_Ave__Willoughby.jpg,107,9
/home/rnam/Documents/ped/data/team500/2016-07-17-13-39-13_Flatbush_Ave__Willoughby.jpg,108,9
/home/rnam/Documents/ped/data/team500/2016-07-17-13-44-23_Flatbush_Ave__Willoughby.jpg,109,7
/home/rnam/Documents/ped/data/team500/2016-07-17-13-45-39_Flatbush_Ave__Willoughby.jpg,110,8
/home/rnam/Documents/ped/data/team500/2016-07-17-13-43-18_Flatbush_Ave__Willoughby.jpg,111,9
/home/rnam/Documents/ped/data/team500/2016-07-17-13-36-52_Flatbush_Ave__Willoughby.jpg,112,9
/home/rnam/Documents/ped/data/team500/2016-07-17-13-39-08_Flatbush_Ave__Willoughby.jpg,113,8
/home/rnam/Documents/ped/data/team500/2016-07-17-13-39-25_Flatbush_Ave__Willoughby.jpg,114,7
/home/rnam/Documents/ped/data/team500/2016-07-17-13-42-48_Flatbush_Ave__Willoughby.jpg,115,7
