

Loaded network ./output/traintest_lr0005_90000iters/VGGnet_fast_rcnn_iter_90000.ckpt
368,2017-06-18 16:02:45.327712,2
360,2017-06-18 16:02:46.433862,0
361,2017-06-18 16:02:46.560869,2
550,2017-06-18 16:02:46.677523,1
940,2017-06-18 16:02:46.778368,4
370,2017-06-18 16:02:46.892369,1
537,2017-06-18 16:02:47.005572,2
789,2017-06-18 16:02:47.697515,11
828,2017-06-18 16:02:47.820694,1
1028,2017-06-18 16:02:47.918484,3
326,2017-06-18 16:02:48.020569,1
192,2017-06-18 16:02:48.131148,1
827,2017-06-18 16:02:48.248967,1
548,2017-06-18 16:02:48.356797,3
547,2017-06-18 16:02:48.467709,0
545,2017-06-18 16:02:48.572999,4
544,2017-06-18 16:02:48.674682,0
543,2017-06-18 16:02:48.779841,0
247,2017-06-18 16:02:48.898275,0
794,2017-06-18 16:02:49.004115,3
165,2017-06-18 16:02:49.100648,2
551,2017-06-18 16:02:49.209860,0
366,2017-06-18 16:02:49.314685,0
472,2017-06-18 16:02:49.416970,1
164,2017-06-18 16:02:49.537075,1
934,2017-06-18 16:02:49.640460,2
846,2017-06-18 16:02:49.742898,4
328,2017-06-18 16:02:49.839301,0
495,2017-06-18 16:02:49.937551,7
403,2017-06-18 16:02:50.039831,5
398,2017-06-18 16:02:50.142591,1
399,2017-06-18 16:02:50.283316,1
400,2017-06-18 16:02:50.392132,4
845,2017-06-18 16:02:50.497071,3
1030,2017-06-18 16:02:50.600578,0
168,2017-06-18 16:02:50.711763,10
415,2017-06-18 16:02:50.829714,6
523,2017-06-18 16:02:50.936596,10
169,2017-06-18 16:02:51.034869,10
409,2017-06-18 16:02:51.139654,5
906,2017-06-18 16:02:51.247017,4
907,2017-06-18 16:02:51.354849,2
509,2017-06-18 16:02:51.481905,2
511,2017-06-18 16:02:51.629049,3
170,2017-06-18 16:02:51.765594,8
173,2017-06-18 16:02:51.884331,2
414,2017-06-18 16:02:52.028846,4
473,2017-06-18 16:02:52.129161,2
717,2017-06-18 16:02:52.230374,2
529,2017-06-18 16:02:52.352076,2
510,2017-06-18 16:02:52.455895,2
501,2017-06-18 16:02:52.565912,11
891,2017-06-18 16:02:52.704287,5
